Row	discovery_rho	discovery_R2	discovery_mae	discovery_icc	emptyCol	replication_rho	replication_R2	replication_mae	replication_icc	emptyCol_1	life_rho	life_R2	life_mae
brainage_gm_xgtree	0.802635382986989	0.637743653790039	3.62997903594025	0.900360373832632	NaN	0.796815448856245	0.630834404251726	3.68613292212637	0.851260156097654	NaN	0.801203967251684	0.611171210192018	4.23431106987004
brainage_gm_xglin	0.821176831969677	0.674318004843363	3.42554237896743	0.90138482713833	NaN	0.819133232708589	0.666385758712343	3.45974580069156	0.888949097729776	NaN	0.819792790959706	0.642747362462825	4.04479564456586
brainage_gm_rvm	0.825869853945184	0.682040680372511	3.37631515910412	0.89508124339734	NaN	0.822425373420845	0.674783623278375	3.4201197640399	0.885302122647093	NaN	0.826325984340856	0.650609143307651	4.00446978016074
brainage_gm_stk	0.826556570330463	0.683195698394939	3.37200747535658	0.8986454818473	NaN	0.824617138013207	0.676390464898364	3.40451435833169	0.887645979886636	NaN	0.827746830647492	0.653139852394506	3.98969173163357
emptyRow_5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
brainage_wm_xgtree	0.813419030473473	0.654530883132607	3.54136830295917	0.917813908409702	NaN	0.802621622090781	0.6412455598497	3.64985956264268	0.886558362215163	NaN	0.798713038432986	0.613722503352647	4.32052420962021
brainage_wm_xglin	0.829786222029967	0.688532540990702	3.34971369387922	0.917885755505621	NaN	0.823179631126822	0.670944734292946	3.43583881091168	0.910682353210854	NaN	0.822134174824487	0.648325308262096	4.11221967467653
brainage_wm_rvm	0.833542144320444	0.694786435743486	3.31694280372864	0.917555551564849	NaN	0.828939035944423	0.681790601574012	3.38230405190906	0.907462970997896	NaN	0.827304119294554	0.66617894621715	3.97430179055085
brainage_wm_stk	0.8345638102423	0.696496681081061	3.30718650468002	0.919586060021484	NaN	0.830343315746084	0.682990188224269	3.36845047441324	0.911079602743455	NaN	0.829238528082829	0.667079003533184	3.97854176504981
emptyRow_9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
brainage_gwm_xgtree	0.83904183499243	0.703991152576515	3.25951262810537	0.916611572336191	NaN	0.833824524180846	0.700575073796313	3.32062689857315	0.892736798490606	NaN	0.838661037418896	0.695514349149294	3.78463893194548
brainage_gwm_xglin	0.85199628098305	0.725897603059475	3.13933985277213	0.916837495762652	NaN	0.847697167450649	0.715646385529248	3.18657733250269	0.90792010772023	NaN	0.855356983873537	0.720574107706781	3.63028296794076
brainage_gwm_rvm	0.856459890441476	0.733523499892698	3.09177372508099	0.914113799885464	NaN	0.853402672007338	0.72571646012399	3.12331233094285	0.907345287581228	NaN	0.861240280959588	0.728555675297144	3.55763781659611
brainage_gwm_stk	0.856775857358497	0.734064790528996	3.08902103477262	0.914512063219796	NaN	0.853672012663258	0.725611894616725	3.12303008765814	0.907537795929759	NaN	0.861630530559365	0.729097241695268	3.55704593892245
