structure	type	measure	n	top_pval	top_fdr	top_rhoAbs	NA	gap_gm_pval	gap_gm_fdr	gap_gm_rho	gap_gm_rhoAbs	NA.1	gap_wm_pval	gap_wm_fdr	gap_wm_rho	gap_wm_rhoAbs	NA.2	gap_gwm_pval	gap_gwm_fdr	gap_gwm_rho	gap_gwm_rhoAbs
Left parsorbitalis	cortical	cortical thickness	32272	9.92666809887504e-65	1.85297804512334e-64	0.0975625420808787		1.50530405190295e-62	2.58052123183363e-62	-0.0959683928535597	0.0959683928535597		1.23119693499893e-47	2.46239386999786e-47	-0.0842494041957071	0.0842494041957071		9.92666809887504e-65	1.85297804512334e-64	-0.0975625420808787	0.0975625420808787
Right lateraloccipital	cortical	cortical thickness	32272	4.57826766310714e-64	8.18243582342553e-64	0.097079538348956		4.57826766310714e-64	8.18243582342553e-64	-0.097079538348956	0.097079538348956		5.64707160891534e-36	9.88237531560185e-36	-0.0737709645536635	0.0737709645536635		4.70472083475813e-57	8.59122935042789e-57	-0.0918273497544736	0.0918273497544736
Left frontalpole	cortical	cortical thickness	32272	1.17119910594468e-52	2.04959843540319e-52	0.0883712542512797		2.31576953366813e-51	3.81420864368868e-51	-0.0873250287819179	0.0873250287819179		7.21350203481944e-38	1.34652037983296e-37	-0.0755747961781427	0.0755747961781427		1.17119910594468e-52	2.04959843540319e-52	-0.0883712542512797	0.0883712542512797
Left entorhinal	cortical	cortical thickness	32272	1.94298987241657e-52	3.26422298565984e-52	0.0881942733614113		1.94298987241657e-52	3.26422298565984e-52	-0.0881942733614113	0.0881942733614113		5.800667552556e-34	9.94400151866743e-34	-0.071807582461781	0.071807582461781		3.42816109227257e-50	5.75931063501792e-50	-0.0863706887293967	0.0863706887293967
Right entorhinal	cortical	cortical thickness	32272	2.50401346019562e-51	4.29259450319249e-51	0.0872979982475127		3.23660708633896e-46	4.85491062950844e-46	-0.0830433011474174	0.0830433011474174		1.30828889061431e-40	2.49764242753641e-40	-0.0781087867937246	0.0781087867937246		2.50401346019562e-51	4.29259450319249e-51	-0.0872979982475127	0.0872979982475127
Right isthmuscingulate	cortical	cortical thickness	32272	1.4898471182102e-49	2.40667611403186e-49	0.0858452273134181		1.4898471182102e-49	2.40667611403186e-49	-0.0858452273134181	0.0858452273134181		1.26208860541389e-11	1.68278480721852e-11	-0.0444111834795573	0.0444111834795573		5.01610701906898e-30	7.14157609494567e-30	-0.0677937840329807	0.0677937840329807
Left posteriorcingulate	cortical	cortical thickness	32272	4.46213623925313e-49	7.07206498296722e-49	0.0854510128461865		4.46213623925313e-49	7.07206498296722e-49	-0.0854510128461865	0.0854510128461865		3.5569688663482e-06	4.33022296772824e-06	-0.0345101654574872	0.0345101654574872		3.92635600268482e-25	5.31957910041169e-25	-0.0624471310846212	0.0624471310846212
Left medialorbitofrontal	cortical	cortical thickness	32272	8.61800687097737e-47	1.34057884659648e-46	0.0835330758614175		8.61800687097737e-47	1.34057884659648e-46	-0.0835330758614175	0.0835330758614175		3.24811125641964e-25	5.1479499158349e-25	-0.0625430057493277	0.0625430057493277		7.32292543204344e-41	1.11841042962118e-40	-0.0783355594620597	0.0783355594620597
Left isthmuscingulate	cortical	cortical thickness	32272	1.11330308841959e-46	1.70031744413174e-46	0.083438562125975		1.11330308841959e-46	1.70031744413174e-46	-0.083438562125975	0.083438562125975		0.000144799789041337	0.000173759746849604	-0.0309787733774003	0.0309787733774003		1.0284037538929e-22	1.34977992698443e-22	-0.0596245247786602	0.0596245247786602
Right inferiortemporal	cortical	cortical thickness	32272	1.62948172017704e-45	2.58257480179003e-45	0.0824424079206079		1.38410280037588e-43	2.03973044265919e-43	-0.0807654242837925	0.0807654242837925		1.27380191538649e-32	2.1399872178493e-32	-0.0704672546087571	0.0704672546087571		1.62948172017704e-45	2.58257480179003e-45	-0.0824424079206079	0.0824424079206079
Left inferiortemporal	cortical	cortical thickness	32272	4.44945375396923e-35	6.44403647126578e-35	0.0729003458985095		4.44945375396923e-35	6.44403647126578e-35	-0.0729003458985095	0.0729003458985095		1.48654354730921e-07	1.83631849961726e-07	-0.0372701358415602	0.0372701358415602		5.97680469360246e-22	7.60684233731222e-22	-0.0587038262742625	0.0587038262742625
Right temporalpole	cortical	cortical thickness	32272	5.25773338250872e-33	7.74823866896022e-33	0.0708521700230606		1.61536762189515e-24	2.12017000373738e-24	-0.0617411095480857	0.0617411095480857		5.17827587060098e-30	8.52892496334279e-30	-0.0677809987706277	0.0677809987706277		5.25773338250872e-33	7.74823866896022e-33	-0.0708521700230606	0.0708521700230606
Right insula	cortical	cortical thickness	32272	8.64600299173799e-32	1.21044041884332e-31	0.0696194732700858		8.64600299173799e-32	1.21044041884332e-31	-0.0696194732700858	0.0696194732700858		9.24926656862771e-17	1.29489731960788e-16	-0.0520220602171314	0.0520220602171314		1.28684398674957e-26	1.8015815814494e-26	-0.0641164821399605	0.0641164821399605
Right frontalpole	cortical	cortical thickness	32272	2.89889220015643e-30	4.19839560022655e-30	0.0680435051382512		5.38509743094339e-30	7.41554400326631e-30	-0.0677601500968296	0.0677601500968296		1.88880201503475e-20	2.783497706367e-20	-0.056854997239561	0.056854997239561		2.89889220015643e-30	4.19839560022655e-30	-0.0680435051382512	0.0680435051382512
Right medialorbitofrontal	cortical	cortical thickness	32272	1.2794958404543e-29	1.73351049351873e-29	0.0673644705023424		1.2794958404543e-29	1.73351049351873e-29	-0.0673644705023424	0.0673644705023424		1.72420946068165e-10	2.26302491714467e-10	-0.0425375413655158	0.0425375413655158		1.25078284524838e-21	1.56814565672931e-21	-0.0583127813794475	0.0583127813794475
Left rostralanteriorcingulate	cortical	cortical thickness	32272	4.16787095086578e-26	5.55716126782104e-26	0.0635461535933052		4.16787095086578e-26	5.55716126782104e-26	-0.0635461535933052	0.0635461535933052		4.09183099615698e-14	5.54377102705139e-14	-0.048253968238473	0.048253968238473		2.34104656424996e-22	3.02535248303072e-22	-0.0591960133650115	0.0591960133650115
Left lateralorbitofrontal	cortical	cortical thickness	32272	1.36851497497337e-25	1.88451242455349e-25	0.0629674241105435		1.17538537876469e-22	1.4959450275187e-22	-0.0595531032590471	0.0595531032590471		1.06798058033485e-20	1.60197087050227e-20	-0.0571644798372393	0.0571644798372393		1.36851497497337e-25	1.88451242455349e-25	-0.0629674241105435	0.0629674241105435
Left temporalpole	cortical	cortical thickness	32272	6.46728209764494e-24	8.62304279685992e-24	0.0610437689646531		2.63191303054941e-19	3.25118668479633e-19	-0.0553974115598123	0.0553974115598123		9.69893412678404e-21	1.4812917575452e-20	-0.0572171927069562	0.0572171927069562		6.46728209764494e-24	8.62304279685992e-24	-0.0610437689646531	0.0610437689646531
Right lateralorbitofrontal	cortical	cortical thickness	32272	6.06734464793024e-20	7.60682015561403e-20	0.0562114877387762		6.06734464793024e-20	7.60682015561403e-20	-0.0562114877387762	0.0562114877387762		1.61953608628817e-08	2.0929389422801e-08	-0.039076578721052	0.039076578721052		9.80528059342515e-16	1.19368633311263e-15	-0.0505931789369909	0.0505931789369909
Left lingual	cortical	cortical thickness	32272	4.44775106784917e-19	5.4942807308725e-19	0.0551044856318303		3.69223265109313e-17	4.43067918131176e-17	-0.052560152508564	0.052560152508564		9.82850936189534e-15	1.35343407606428e-14	-0.0491622419439279	0.0491622419439279		4.44775106784917e-19	5.4942807308725e-19	-0.0551044856318303	0.0551044856318303
Left insula	cortical	cortical thickness	32272	1.87318316821768e-17	2.28039690043891e-17	0.0529571219434764		1.87318316821768e-17	2.28039690043891e-17	-0.0529571219434764	0.0529571219434764		0.00268307070032153	0.00308736902502751	-0.0278715919673572	0.0278715919673572		1.07479948206764e-09	1.28975937848117e-09	-0.0411732880496447	0.0411732880496447
Left parahippocampal	cortical	cortical thickness	32272	1.54865392046105e-10	1.83221027209476e-10	0.0426083697038027		1.54865392046105e-10	1.83221027209476e-10	-0.0426083697038027	0.0426083697038027		1	1	-0.0134828110062187	0.0134828110062187		0.000428954661330707	0.000486921507456478	-0.0298532008391864	0.0298532008391864
Right parahippocampal	cortical	cortical thickness	32272	5.85522306378872e-10	6.83109357442017e-10	0.0416255129960465		5.85522306378872e-10	6.83109357442017e-10	-0.0416255129960465	0.0416255129960465		1	1	-0.000175389201299361	0.000175389201299361		0.442364522476665	0.470362277063796	-0.0213198784703934	0.0213198784703934
Right caudate	subcortical	volume	32272	4.31594290802129e-08	5.41103289960878e-08	0.0382885740722513		9.78801396749254e-05	0.000111107185576942	0.0313642802415897	0.0313642802415897		4.31594290802129e-08	5.41103289960878e-08	0.0382885740722513	0.0382885740722513		3.34296455469795e-07	3.95505665626236e-07	0.0365807112600371	0.0365807112600371
Left cuneus	cortical	cortical thickness	32272	3.76741783928529e-06	4.33511093835568e-06	0.0344481431276257		3.76741783928529e-06	4.33511093835568e-06	-0.0344481431276257	0.0344481431276257		0.000896205778906992	0.0010602997947632	-0.0290770750757928	0.0290770750757928		4.11120561952192e-06	4.79640655610891e-06	-0.0343712219463289	0.0343712219463289
Left caudalanteriorcingulate	cortical	cortical thickness	32272	0.000115847822418405	0.000129749561108614	0.0311933669421172		0.000115847822418405	0.000129749561108614	-0.0311933669421172	0.0311933669421172		0.101620263080335	0.110858468814911	-0.0234024166122117	0.0234024166122117		0.000621513558305713	0.000696095185302399	-0.0294587079556676	0.0294587079556676
Right caudalanteriorcingulate	cortical	cortical thickness	32272	0.000187399712962915	0.000207125998537959	0.0307042279010132		0.000187399712962915	0.000207125998537959	-0.0307042279010132	0.0307042279010132		0.0674429368182067	0.0755360892363915	-0.023948397265855	0.023948397265855		0.00131081814591914	0.00144879900338431	-0.0286563180385432	0.0286563180385432
Right pericalcarine	cortical	cortical thickness	32272	0.000206026750678393	0.000237071877492945	0.0306110548565889		0.000363148220090745	0.000396161694644449	0.0300238039973049	0.0300238039973049		0.0194193955125855	0.0220436381494214	0.0255352991322206	0.0255352991322206		0.000206026750678393	0.000237071877492945	0.0306110548565889	0.0306110548565889
Left transversetemporal	cortical	cortical thickness	32272	0.00133017056394026	0.0015518656579303	0.0286485088154891		1	1	0.0111410870546902	0.0111410870546902		0.00133017056394026	0.0015518656579303	0.0286485088154891	0.0286485088154891		0.0676631999596316	0.0728680614949879	0.0239344658417532	0.0239344658417532
Right lingual	cortical	cortical thickness	32272	0.00881642746422669	0.00961792087006548	0.0264872511109546		0.0212797997018434	0.022916707371216	-0.025406519401082	0.025406519401082		0.084846898310764	0.0937781507645286	-0.0236412588440405	0.0236412588440405		0.00881642746422669	0.00961792087006548	-0.0264872511109546	0.0264872511109546
Left caudate	subcortical	volume	32272	0.268702681031179	0.289372118033577	0.0220553646680076		1	1	0.0105604271103372	0.0105604271103372		0.268702681031179	0.289372118033577	0.0220553646680076	0.0220553646680076		1	1	0.0155565395471286	0.0155565395471286
Right rostralanteriorcingulate	cortical	cortical thickness	32272	0.415415633593396	0.441707762301839	0.0214175788017694		1	1	0.00989209591149347	0.00989209591149347		0.415415633593396	0.441707762301839	0.0214175788017694	0.0214175788017694		1	1	0.0187626719488967	0.0187626719488967
Right transversetemporal	cortical	cortical thickness	32272	1	1	0.0139971358314411		1	1	-0.0139971358314411	0.0139971358314411		1	1	0.000926892634914832	0.000926892634914832		1	1	-0.00546677719344694	0.00546677719344694
Right cuneus	cortical	cortical thickness	32272	1	1	0.00927969966876151		1	1	-0.00912883691039282	0.00912883691039282		1	1	-0.00823439512754896	0.00823439512754896		1	1	-0.00927969966876151	0.00927969966876151
